,year,Renewable energy consumption (TJ),Access to electricity (% of rural population with access),Access to Clean Fuels and Technologies for cooking (% of total population),Access to electricity (% of total population),Access to electricity (% of urban population with access),Energy intensity level of primary energy (MJ/2011 USD PPP),Renewable electricity output (GWh),Renewable electricity share of total electricity output (%),Renewable energy share of TFEC (%),Total electricity output (GWh),Total final energy consumption (TFEC) (TJ),country
18,2008,235483.2,3.92902856636613,15.25,22.7146854400635,53.528125762939396,8.751486367276879,9522.0,99.8741346758968,92.1825794228102,9534.0,255453.03838800002,Zambia
19,2009,242968.5,3.78953925947299,15.43,23.2356491088867,54.5639991760254,8.23202816897653,9881.0,99.8787021126049,92.0865599814941,9893.0,263847.9492,Zambia
20,2010,253420.7,3.1,15.47,22.0,49.8,7.765465643187691,10435.0,99.8755742725881,92.10429745858191,10448.0,275145.359112,Zambia
21,2011,263135.5,3.52057952867639,15.71,24.3286437988281,56.6660957336426,7.7560472838405,11483.0,99.8695425291355,90.899608136634,11498.0,289479.245724,Zambia
22,2012,277634.4,3.3793840667491297,15.9,24.894666671752898,57.7287483215332,7.576244228815581,12350.0,99.8544631306598,88.63232944414709,12368.0,313242.81076799997,Zambia
23,2013,286757.3,3.2266582674742206,15.99,25.469701766967802,58.796760559082,7.468400568885349,13281.0,99.8571428571429,88.4762085670418,13300.0,324106.67754,Zambia
24,2014,292681.4,3.8,16.23,27.9,61.5,7.39863807087842,14042.0,97.1630224190423,88.0340372906068,14452.0,332463.907152,Zambia
25,2015,301679.8,3.7,16.31,31.1,67.7,7.34362541470335,13035.0,96.993823945234,87.98545235853528,13439.0,342874.63656,Zambia
26,2016,,2.6577457459003098,16.43,27.219337463378896,62.0153732299805,,,,,,,Zambia
0,1990,326004.7,35.1076881286279,,59.3379402160645,81.6711959838867,10.4388177843194,1010.0,0.6106962541947579,16.6278217077773,165385.0,1960597.760364,South Africa
1,1991,334858.0,36.727482017052495,,60.575080871582,82.1048049926758,11.0128684771255,1980.0,1.1891034880368998,17.4661188204403,166512.0,1917186.087204,South Africa
2,1992,335990.9,38.4035514694694,,61.811710357665994,82.5382461547852,10.4957095003736,752.0,0.45095558207451597,18.3632170243738,166757.0,1829695.1974919997,South Africa
3,1993,340353.5,40.1010332801377,,63.045284271240206,82.9706573486328,11.1112150080899,146.0,0.0842173268497528,18.585950063784,173361.0,1831240.7965799998,South Africa
4,1994,349869.2,41.8141893617044,,64.27273559570311,83.401008605957,11.133038663826802,1074.0,0.59609375433611,18.562881558955898,180173.0,1884778.496748,South Africa
5,1995,355387.8,43.5390105583757,,65.4910125732422,83.82826232910149,11.389546505347303,529.0,0.285358262173578,18.113079676027102,185381.0,1962050.6637,South Africa
6,1996,363260.0,25.069463437098104,,57.6,84.25140380859371,11.158973110422401,1379.0,0.6912419296627501,17.4377706017221,199496.0,2083179.141972,South Africa
7,1997,370388.1,47.00112175490721,,67.88779449462889,84.6693801879883,11.1701810052773,2238.0,1.07723557669166,17.1071913418366,207754.0,2165101.755156,South Africa
8,1998,374479.0,37.1,,64.9,84.2,11.041988280854001,1826.0,0.89971126462154,17.272490038871,202954.0,2168066.093292,South Africa
9,1999,381332.9,50.44342613330979,,70.21115875244139,85.4857635498047,10.9135199381459,923.0,0.460528285317979,18.2213200307393,200422.0,2092784.163588,South Africa
10,2000,390795.6,52.1460216148961,56.43,71.3391799926758,85.8827438354492,10.4522363265227,1408.0,0.6774539663293829,18.5080804630776,207837.0,2111486.389848,South Africa
11,2001,401776.1,48.569534431323206,58.81,70.2,86.2742919921875,10.4677882943679,2292.0,1.1010073352452,19.1214417005142,208173.0,2101181.0003279997,South Africa
12,2002,408490.4,63.9487977135725,61.01,77.1,86.6632308959961,9.90327157391213,2642.0,1.2087992533079601,18.3241040408302,218564.0,2229251.695416,South Africa
13,2003,408752.4,57.4,63.29,78.8,87.7,10.2861597446598,966.0,0.4177333425586379,17.5065631974473,231248.0,2334852.33732,South Africa
14,2004,414828.5,71.4849916803226,65.6,80.9,87.4445266723633,10.741440513673401,1224.0,0.5080313784086661,16.7607974940869,240930.0,2474992.613844,South Africa
15,2005,421555.4,70.68524211854451,67.53,80.9,87.84252166748051,10.186570758593499,1610.0,0.6651380884509721,16.2453416966089,242055.0,2594930.952348,South Africa
